family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,bf16,3584,112,18944,396789.9829149246,38.32895727929919,214537.6056432724,70.88988552099524,0.5406830184250675,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,128,18944,389676.5410900116,44.60416253793709,223670.15480995178,77.70905238013746,0.5739892737301989,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,144,18944,319166.1089658737,61.265418535057435,271329.6562433243,72.06674537067342,0.8501205128654049,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,160,18944,415915.6233072281,52.237746077528556,274606.04906082153,79.11877685982029,0.660244611340257,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,176,18944,358110.29374599457,66.73682552379105,328287.4822616577,72.7994379418691,0.9167217139379691,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,192,18944,352717.93603897095,73.91683552241979,329978.7640571594,79.01051977842975,0.9355315688304007,0.5,ok
gemm_layoutAB_ContinuousC,bf16,3584,208,18944,418033.4508419037,67.56503116943573,332748.51739406586,84.88225088784033,0.7959853851980573,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,224,18944,476062.2978210449,63.89309287297099,329691.91670417786,92.25913972071174,0.6925394390885189,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,240,18944,492513.17977905273,66.1702943556153,329542.9050922394,98.89377551878441,0.669104744039695,2.0,ok
gemm_layoutAB_ContinuousC,bf16,3584,256,18944,515546.64969444275,67.42821735453656,388806.68580532074,89.4079058337126,0.7541639268449538,2.0,ok
gemm_layoutA,fp16,512,16,7168,146659.09111499786,0.8007721247086751,84564.08977508545,1.3887752154886992,0.5766031217851836,0.25,ok
gemm_layoutA,fp16,512,32,7168,79061.8360042572,2.9708521313286034,86035.5794429779,2.730045238501275,1.088206191396127,0.25,ok
gemm_layoutA,fp16,512,48,7168,85275.62022209167,4.131562281017886,92644.24443244934,3.8029511510225746,1.086409505919357,0.25,ok
gemm_layoutA,fp16,512,64,7168,111695.37901878357,4.205742906526162,123474.74694252014,3.804519220587536,1.1054597605309675,0.25,ok
gemm_layoutA,fp16,512,80,7168,105660.40873527527,5.557451149665669,115286.55886650085,5.093417357351839,1.0911046081162077,0.25,ok
gemm_layoutA,fp16,512,96,7168,109100.71432590485,6.458647648218832,138683.2445859909,5.080953175731941,1.2711488228364605,0.25,ok
gemm_layoutA,fp16,512,112,7168,116735.69679260254,7.042263905449142,131081.78973197937,6.271531581014417,1.1228937962726577,0.25,ok
gemm_layoutA,fp16,512,128,7168,117622.31588363647,7.987634735312212,130807.98089504242,7.182467687150178,1.1121017292709192,0.25,ok
gemm_layoutA,fp16,7168,16,256,81095.8445072174,0.724084647700709,102348.62565994263,0.5737278407147389,1.2620699159355047,0.0,ok
gemm_layoutA,fp16,7168,32,256,80339.61057662964,1.461800862078896,99310.65142154694,1.1825570602844673,1.236135583789298,0.0,ok
gemm_layoutA,fp16,7168,48,256,122420.48978805542,1.4389810750225247,100621.95360660553,1.7507190199141154,0.8219371918933723,0.0625,ok
gemm_layoutA,fp16,7168,64,256,119579.95593547821,1.9642173486561143,105906.27789497375,2.217819648358611,0.8856524244925933,0.0625,ok
gemm_layoutA,fp16,7168,80,256,85486.09912395477,3.4344914905320265,103553.75707149506,2.835254734382001,1.2113519991284454,0.0,ok
gemm_layoutA,fp16,7168,96,256,90807.67631530762,3.8798651203963086,109259.03916358948,3.2246442829547686,1.2031916639317362,0.0625,ok
gemm_layoutA,fp16,7168,112,256,89136.88361644745,4.611354753759363,110311.43367290497,3.726193906778689,1.2375509351164977,0.0,ok
gemm_layoutA,fp16,7168,128,256,95443.80009174347,4.921870750624456,111300.4982471466,4.220664376154698,1.1661364922620558,0.0,ok
gemm_layoutABC,fp16,512,16,7168,149523.83935451508,0.7854300190991834,117424.875497818,1.0001331617522753,0.7853254437869822,0.25,ok
gemm_layoutABC,fp16,512,32,7168,94600.02183914185,2.4828855156015965,112704.93268966675,2.084034996469457,1.1913837914467984,0.25,ok
gemm_layoutABC,fp16,512,48,7168,101655.72166442871,3.4658308478005138,109979.88283634186,3.2035089228480116,1.0818858106127236,0.25,ok
gemm_layoutABC,fp16,512,64,7168,108191.74349308014,4.341939900710128,122038.64753246307,3.849289200579187,1.127984849789102,0.25,ok
gemm_layoutABC,fp16,512,80,7168,95086.17222309113,6.175477950908631,119773.67103099823,4.902601339221105,1.259632901721875,0.25,ok
gemm_layoutABC,fp16,512,96,7168,379215.92593193054,1.8581579090285458,396143.6450481415,1.7787564708109052,1.044638734711921,0.25,ok
gemm_layoutABC,fp16,512,112,7168,380504.87637519836,2.16050735494223,386301.4280796051,2.1280883896463187,1.0152338434125376,0.25,ok
gemm_layoutABC,fp16,512,128,7168,93517.82500743866,10.046470776296045,98390.50471782684,9.548930546646263,1.052104288246659,0.25,ok
gemm_layoutABC,fp16,7168,16,256,60170.888900756836,0.9758914497150034,71004.03308868408,0.8269988822558624,1.1800396235760278,0.0625,ok
gemm_layoutABC,fp16,7168,32,256,59707.09025859833,1.966944151713834,74500.21803379059,1.5763780979370188,1.247761659647481,0.0625,ok
gemm_layoutABC,fp16,7168,48,256,122770.66707611084,1.4348766867153238,105734.9145412445,1.6660605322689712,0.861239228061658,0.0625,ok
gemm_layoutABC,fp16,7168,64,256,126108.52718353271,1.8625308632632325,210259.1097354889,1.1171027228997883,1.6672870140612077,0.0625,ok
gemm_layoutABC,fp16,7168,80,256,89719.89154815674,3.2724212539023285,103410.33339500427,2.839187055693061,1.1525909317389138,0.0625,ok
gemm_layoutABC,fp16,7168,96,256,84079.8020362854,4.190323091483403,111626.46114826202,3.15625464048392,1.3276251661497562,0.0625,ok
gemm_layoutABC,fp16,7168,112,256,85134.05919075012,4.828170956573629,108843.66929531097,3.7764418882716573,1.2784973526451668,0.0,ok
gemm_layoutABC,fp16,7168,128,256,85324.04899597168,5.505623016345349,106384.97769832611,4.415680278959078,1.2468346140412154,0.0,ok
muxi_hgemm_layoutC,fp16,4608,256,3584,169342.38374233246,49.932667044926134,166878.1042098999,50.67001991683923,0.9854479458835176,0.0,ok
muxi_hgemm_layoutC,fp16,4608,288,3584,207010.6565952301,45.9526172635655,170312.8218650818,55.854170976837814,0.8227249005740611,0.0625,ok
muxi_hgemm_layoutC,fp16,4608,320,3584,224491.58132076263,47.0825944465938,169007.1076154709,62.53965427328842,0.7528438555296499,0.0625,ok
muxi_hgemm_layoutC,fp16,4608,352,3584,231016.42727851868,50.32806898179017,239189.71419334412,48.60832217309256,1.0353796784545175,0.0625,ok
muxi_hgemm_layoutC,fp16,4608,384,3584,313667.58048534393,40.43636029064418,412391.4986848831,30.75615122146779,1.3147405863455246,0.0625,ok
muxi_hgemm_layoutC,fp16,4608,416,3584,315831.9741487503,43.50585446908707,405751.16872787476,33.86444935471121,1.2847057990929518,0.03125,ok
